created_at,consultant,date,project,hours,description,rate
2019-12-06 10:45:22,Stanislav Valasek,2019-12-06,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-06,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-07,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-07,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-08,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-08,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-09,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-09,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-10,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-10,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-11,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-11,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-12,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-12,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-13,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-13,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-14,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-14,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-15,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-15,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-16,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-16,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2019-12-17,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-17,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-18,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-18,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-19,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-19,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-20,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-20,Google,4,Merge of community packages into Go standard library,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-21,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-21,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-22,_Sales,6,Demo materials for Toronto conference,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-22,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-23,Python,4,Work on PEP1024 - Mandatory types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-23,_Sick Day,4,,Sick Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-24,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-24,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-25,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-25,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-26,_Vacation,4,,Vacation
2019-12-06 10:45:22,Stanislav Valasek,2019-12-26,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-27,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-27,Vue,5,Updates of all Vue.js documentation examples using typescript,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-28,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-28,_Travel Time,4,Commute to Toronto,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-29,_Unpaid Leave,4,,Unpaid Leave
2019-12-06 10:45:22,Stanislav Valasek,2019-12-29,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-30,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2019-12-30,_Personal Day,4,,Personal Day
2019-12-06 10:45:22,Stanislav Valasek,2019-12-31,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2019-12-31,_Sick,4,,Sick
2019-12-06 10:45:22,Stanislav Valasek,2020-01-01,Ruby on Rails,5,Porting RoR into Golang,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-01,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-02,Quasar,6,Performance refactoring and new typescript types,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-02,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-03,Spotify,6,Identify and document team delivery best practicies,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-03,_Training,5,Core concepts,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-04,React,6,Merge of React codebase into Vue.js,Standard
2019-12-06 10:45:22,Stanislav Valasek,2020-01-04,_Sick Day,4,,Sick Day
